repo,pr_id,title,date_created,url,author,ci_status,draft_status
insights-results-smart-proxy,1670,dummy commit to test CI,2026-02-11T21:00:26Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1670,Bee-lee,failed,ready
insights-results-smart-proxy,1669,fix `/rating` endpoint ignoring error codes and non-200 aggregator responses,2026-02-11T18:44:08Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1669,Bee-lee,failed,ready
insights-results-smart-proxy,1668,[DONT MERGE] Force CI execution,2026-02-11T15:23:16Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1668,joselsegura,failed,ready
data-pipeline,13,conf: parametrize dvo-extractor logging,2026-02-11T13:36:57Z,https://github.com/RedHatInsights/data-pipeline/pull/13,juandspy,failed,ready
data-pipeline,11,test,2026-02-10T11:00:19Z,https://github.com/RedHatInsights/data-pipeline/pull/11,juandspy,failed,ready
data-pipeline,9,chore(deps): update python dependencies,2026-02-10T00:53:29Z,https://github.com/RedHatInsights/data-pipeline/pull/9,app/red-hat-konflux,failed,ready
parquet-factory,6,Update Go dependencies,2026-02-09T12:58:36Z,https://github.com/RedHatInsights/parquet-factory/pull/6,app/red-hat-konflux,failed,ready
insights-ccx-messaging,648,"build(deps): update boto3 requirement from <1.42.35,>=1.34.1 to >=1.34.1,<1.42.45",2026-02-09T07:43:50Z,https://github.com/RedHatInsights/insights-ccx-messaging/pull/648,app/dependabot,failed,ready
insights-ccx-messaging,647,build(deps): bump aiobotocore from 2.26.0 to 3.1.2,2026-02-09T07:43:19Z,https://github.com/RedHatInsights/insights-ccx-messaging/pull/647,app/dependabot,failed,ready
content-service,710,Update Pre-commit hooks,2026-02-06T16:54:42Z,https://github.com/RedHatInsights/content-service/pull/710,app/red-hat-konflux,failed,ready
content-service,709,Update Go dependencies,2026-02-06T16:54:35Z,https://github.com/RedHatInsights/content-service/pull/709,app/red-hat-konflux,failed,ready
insights-operator-gathering-conditions-service,567,fix(deps): update module github.com/unleash/unleash-go-sdk/v5 to v6,2026-02-03T08:58:43Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/567,app/red-hat-konflux,failed,ready
insights-operator-gathering-conditions-service,371,Drop legacy building,2025-03-28T12:35:04Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/371,ikerreyes,failed,draft
